epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,8118.28,1.46675,2.26337,1.29958,1.56148,0.83694,0.75817,0.84322,0.51559,0.78886,0.67982,0.76206,0.45212,1.31887,2.68653,0.83784,1.59588,0.00525728,0.00525728,0.00525728
75,8211.85,1.46498,2.25243,1.2729,1.55212,0.80841,0.77732,0.84728,0.51599,0.7953,0.70457,0.78524,0.46232,1.33743,2.64473,0.82681,1.60809,0.00515366,0.00515366,0.00515366
76,8305.42,1.46165,2.24428,1.28725,1.555,0.81192,0.77507,0.84121,0.51406,0.79453,0.70748,0.78149,0.4672,1.32992,2.66726,0.82404,1.60634,0.00505,0.00505,0.00505
77,8399.15,1.45338,2.23482,1.24247,1.53463,0.81891,0.77805,0.84608,0.52353,0.79357,0.71548,0.79013,0.47692,1.31162,2.48956,0.81646,1.57946,0.00494634,0.00494634,0.00494634
78,8492.82,1.44658,2.23824,1.2444,1.53038,0.81026,0.79385,0.8481,0.52119,0.7935,0.72562,0.79633,0.4765,1.30864,2.55368,0.81886,1.58402,0.00484272,0.00484272,0.00484272
79,8586.54,1.45248,2.24096,1.25095,1.53872,0.8268,0.78125,0.85002,0.52102,0.78049,0.72262,0.77708,0.46288,1.30742,2.57455,0.8083,1.58164,0.00473919,0.00473919,0.00473919
80,8680.05,1.44821,2.22957,1.22274,1.52667,0.81195,0.80445,0.85352,0.52351,0.77831,0.74444,0.79427,0.47328,1.31666,2.52161,0.78692,1.57822,0.00463579,0.00463579,0.00463579
81,8773.68,1.45721,2.24896,1.24367,1.54117,0.83096,0.77978,0.85299,0.52028,0.78865,0.7222,0.78492,0.46851,1.32377,2.55055,0.78986,1.59309,0.00453258,0.00453258,0.00453258
82,8867.24,1.43693,2.2255,1.2299,1.52764,0.82071,0.78949,0.85397,0.52029,0.80224,0.73028,0.80454,0.47741,1.32741,2.57618,0.79163,1.60244,0.0044296,0.0044296,0.0044296
83,8961.35,1.43597,2.2343,1.22233,1.5312,0.81808,0.79228,0.8482,0.52131,0.77974,0.72472,0.77908,0.46941,1.31244,2.62244,0.78643,1.58855,0.00432689,0.00432689,0.00432689
