epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,16833.1,1.13294,2.08416,0.92912,1.44228,0.8262,0.78265,0.8495,0.51099,0.81576,0.77246,0.83468,0.46731,1.34441,1.54006,0.78018,1.64097,0.00037955,0.00037955,0.00037955
75,17026.8,1.13412,2.08354,0.91595,1.44785,0.83502,0.76941,0.85033,0.51437,0.82136,0.76129,0.83508,0.4699,1.32716,1.52368,0.76737,1.61929,0.0003779,0.0003779,0.0003779
76,17220.9,1.12434,2.04776,0.91006,1.43239,0.84977,0.77175,0.84641,0.50863,0.84202,0.7638,0.8359,0.47214,1.35398,1.50871,0.76659,1.63754,0.00037625,0.00037625,0.00037625
77,17432.8,1.11936,2.06144,0.90925,1.43871,0.82867,0.77502,0.85119,0.51894,0.82179,0.76566,0.83939,0.47677,1.32542,1.53157,0.77556,1.61636,0.0003746,0.0003746,0.0003746
78,17626.4,1.11735,2.03667,0.90035,1.42436,0.81397,0.78438,0.84578,0.51942,0.80259,0.76824,0.8292,0.47585,1.32098,1.58185,0.77845,1.60411,0.00037295,0.00037295,0.00037295
79,17820.6,1.12398,2.05107,0.89497,1.4294,0.84071,0.77689,0.85357,0.52247,0.82631,0.77081,0.8431,0.48243,1.32406,1.52033,0.77347,1.59454,0.0003713,0.0003713,0.0003713
80,18015.2,1.12447,2.05409,0.91074,1.43786,0.85548,0.76801,0.85378,0.51977,0.84454,0.75819,0.83932,0.47949,1.32543,1.57169,0.7667,1.62345,0.00036965,0.00036965,0.00036965
81,18223,1.10917,2.01335,0.87486,1.42542,0.84291,0.76548,0.84771,0.52309,0.84117,0.76473,0.84695,0.48255,1.31522,1.50773,0.75828,1.60613,0.000368,0.000368,0.000368
82,18425.6,1.12529,2.05991,0.91525,1.43626,0.83897,0.77081,0.85415,0.529,0.82735,0.75982,0.84083,0.48707,1.30906,1.53637,0.77164,1.59599,0.00036635,0.00036635,0.00036635
83,18619.7,1.11811,2.06322,0.89646,1.43095,0.81936,0.79981,0.85956,0.52899,0.80917,0.79139,0.84147,0.48647,1.30543,1.54989,0.75981,1.59527,0.0003647,0.0003647,0.0003647
84,18813.4,1.10821,2.03082,0.89427,1.42588,0.82191,0.78812,0.84863,0.52389,0.81404,0.78531,0.83949,0.47704,1.30793,1.52102,0.75341,1.58839,0.00036305,0.00036305,0.00036305
85,19041.8,1.10978,2.02353,0.88355,1.41901,0.82978,0.79935,0.85059,0.51964,0.82288,0.79139,0.84189,0.47834,1.31786,1.51859,0.76424,1.61278,0.0003614,0.0003614,0.0003614
86,19236.1,1.10697,2.03361,0.8814,1.4202,0.83947,0.78513,0.84799,0.52259,0.8295,0.77595,0.83619,0.4798,1.32066,1.62163,0.75643,1.63634,0.00035975,0.00035975,0.00035975
87,19429.8,1.11116,2.02666,0.88225,1.41947,0.83113,0.78578,0.85401,0.52735,0.82159,0.77327,0.83854,0.48127,1.30701,1.5415,0.75824,1.60386,0.0003581,0.0003581,0.0003581
88,19623.8,1.08968,2.00276,0.85722,1.40725,0.8324,0.79747,0.85283,0.52271,0.82098,0.78504,0.83946,0.4791,1.33008,1.55277,0.74762,1.63062,0.00035645,0.00035645,0.00035645
89,19817.8,1.10181,1.99889,0.8638,1.40993,0.8362,0.79373,0.85037,0.52968,0.82371,0.7783,0.83366,0.48337,1.31756,1.55441,0.73304,1.62163,0.0003548,0.0003548,0.0003548
90,20036.8,1.08847,1.99147,0.85311,1.39879,0.85503,0.77362,0.85351,0.53249,0.84632,0.75912,0.84155,0.48975,1.3008,1.50929,0.74604,1.59495,0.00035315,0.00035315,0.00035315
