epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,42972,1.07813,1.13195,0.88429,1.38383,0.81677,0.78473,0.84613,0.55356,0.80951,0.7454,0.81254,0.50785,1.20279,0.82013,0.72408,1.64452,0.00141267,0.00141267,0.00141267
112,43264.9,1.07298,1.12121,0.88356,1.38506,0.81486,0.78347,0.84086,0.55089,0.79603,0.74738,0.80685,0.50336,1.20589,0.82164,0.72693,1.64711,0.00140318,0.00140318,0.00140318
113,43528.8,1.08261,1.15838,0.89269,1.39658,0.82236,0.76737,0.84061,0.55135,0.79997,0.73844,0.80544,0.49796,1.20252,0.85972,0.72676,1.64888,0.00139364,0.00139364,0.00139364
114,43783,1.08022,1.12997,0.87812,1.39025,0.83511,0.76934,0.84597,0.55372,0.81428,0.74024,0.80994,0.50094,1.19667,0.84692,0.72074,1.64125,0.00138406,0.00138406,0.00138406
115,44111.6,1.06322,1.12775,0.86375,1.37206,0.82216,0.77465,0.84448,0.55639,0.79683,0.75367,0.81188,0.50408,1.19386,0.8447,0.71951,1.6374,0.00137444,0.00137444,0.00137444
116,44357.5,1.05835,1.12081,0.87351,1.37701,0.82753,0.77115,0.84318,0.5549,0.80636,0.74108,0.80929,0.50261,1.20643,0.84624,0.71731,1.65474,0.00136478,0.00136478,0.00136478
117,44596.3,1.06338,1.12435,0.87954,1.38186,0.82924,0.76584,0.84215,0.5528,0.8077,0.73499,0.80531,0.50111,1.20652,0.85085,0.71391,1.65782,0.00135509,0.00135509,0.00135509
118,44924.2,1.06916,1.14053,0.8804,1.38386,0.818,0.7692,0.84208,0.55382,0.80937,0.73051,0.80839,0.50286,1.20948,0.84968,0.71125,1.66074,0.00134535,0.00134535,0.00134535
119,45163,1.05488,1.11502,0.85504,1.37236,0.81448,0.77381,0.84133,0.55074,0.80995,0.72608,0.80323,0.49762,1.21321,0.87438,0.71856,1.66525,0.00133558,0.00133558,0.00133558
120,45414.3,1.05746,1.12902,0.87162,1.37835,0.82047,0.76329,0.8399,0.5495,0.80526,0.73521,0.80478,0.497,1.21609,0.87635,0.71788,1.66361,0.00132577,0.00132577,0.00132577
121,45672.4,1.05858,1.09971,0.85629,1.37402,0.8311,0.76194,0.84123,0.54908,0.8214,0.72758,0.80565,0.49572,1.21964,0.87759,0.72058,1.66824,0.00131593,0.00131593,0.00131593
122,45999.5,1.04969,1.10847,0.85718,1.36407,0.83837,0.75531,0.83989,0.54901,0.82422,0.72849,0.80621,0.49418,1.22125,0.8967,0.71972,1.67387,0.00130605,0.00130605,0.00130605
123,46238.8,1.05812,1.12415,0.85513,1.36691,0.8317,0.75901,0.83966,0.55096,0.82213,0.72765,0.80848,0.50002,1.21788,0.87737,0.71487,1.66221,0.00129614,0.00129614,0.00129614
124,46475.1,1.05117,1.10465,0.84963,1.36273,0.83593,0.76123,0.84204,0.55124,0.81963,0.73479,0.81014,0.5002,1.208,0.86153,0.7159,1.64476,0.0012862,0.0012862,0.0012862
125,46714,1.04291,1.11,0.85296,1.36145,0.83365,0.76878,0.84289,0.55382,0.82001,0.74178,0.81051,0.50028,1.20642,0.86492,0.71273,1.64164,0.00127623,0.00127623,0.00127623
