epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,55767.6,0.79913,0.40582,0.68084,0.8497,0.82489,0.69226,0.80428,0.45524,0.80714,0.68996,0.7969,0.43644,0.14995,0.08202,0.10714,0.16227,0.00214046,0.00214046,0.00214046
72,56539.1,0.78564,0.39896,0.65241,0.84219,0.83131,0.68888,0.80464,0.45556,0.82017,0.68932,0.799,0.43705,0.14981,0.08193,0.10714,0.16213,0.00201611,0.00201611,0.00201611
73,57310.5,0.78156,0.40387,0.66425,0.83598,0.83028,0.69262,0.80536,0.45707,0.81815,0.69176,0.80038,0.43807,0.14969,0.08182,0.10651,0.16201,0.00189475,0.00189475,0.00189475
74,58080.5,0.76807,0.39021,0.6452,0.82572,0.83211,0.69578,0.8077,0.45828,0.8218,0.69235,0.79958,0.43943,0.14953,0.08173,0.10589,0.16183,0.00177651,0.00177651,0.00177651
75,58858.4,0.77975,0.38562,0.65243,0.83442,0.83315,0.695,0.80806,0.45931,0.82597,0.69178,0.80092,0.4403,0.14939,0.08164,0.10529,0.16168,0.00166149,0.00166149,0.00166149
76,59664.3,0.77549,0.39977,0.65171,0.83105,0.84056,0.69176,0.80954,0.46066,0.82718,0.69195,0.80308,0.44194,0.14928,0.08151,0.10466,0.16155,0.00154982,0.00154982,0.00154982
77,60470.8,0.76696,0.39255,0.64941,0.82892,0.84013,0.69235,0.81064,0.46259,0.82931,0.68996,0.8031,0.4422,0.14902,0.08142,0.10397,0.16132,0.00144161,0.00144161,0.00144161
78,61277.1,0.76312,0.40612,0.63141,0.82294,0.83895,0.69393,0.8127,0.46379,0.83173,0.68796,0.80337,0.44444,0.14882,0.08131,0.10321,0.16115,0.00133695,0.00133695,0.00133695
79,62082.7,0.75919,0.40724,0.62052,0.81556,0.84091,0.69534,0.81412,0.46438,0.83441,0.68996,0.80403,0.44471,0.14863,0.08134,0.10258,0.16096,0.00123596,0.00123596,0.00123596
80,62893.2,0.75234,0.38768,0.61785,0.81852,0.84623,0.69364,0.8167,0.46642,0.84233,0.68817,0.80796,0.44594,0.14844,0.08127,0.1017,0.16077,0.00113873,0.00113873,0.00113873
81,63718.1,0.75689,0.3957,0.62193,0.82352,0.84651,0.69355,0.81821,0.46875,0.84411,0.68996,0.81088,0.44795,0.14823,0.08116,0.1007,0.16056,0.00104537,0.00104537,0.00104537
82,64543.1,0.74801,0.39779,0.59989,0.81107,0.84398,0.69798,0.8199,0.46965,0.84594,0.68996,0.81261,0.45053,0.14808,0.08106,0.10002,0.16043,0.000955951,0.000955951,0.000955951
83,65360.8,0.7395,0.38226,0.60888,0.81125,0.84688,0.70044,0.8215,0.47075,0.84594,0.69355,0.81482,0.45173,0.14795,0.08098,0.09936,0.16036,0.000870577,0.000870577,0.000870577
84,66177.9,0.73026,0.39408,0.59978,0.8006,0.85193,0.70115,0.82373,0.47219,0.84896,0.69534,0.81642,0.45351,0.14778,0.08089,0.09873,0.16022,0.000789327,0.000789327,0.000789327
85,66997,0.75049,0.38718,0.61507,0.82013,0.85435,0.70084,0.82543,0.47296,0.85084,0.69513,0.81827,0.45501,0.14759,0.08076,0.09815,0.16009,0.000712282,0.000712282,0.000712282
86,67814.6,0.72249,0.36081,0.57861,0.79445,0.85097,0.7037,0.827,0.47482,0.84663,0.6991,0.81964,0.45549,0.14745,0.08064,0.09758,0.15993,0.000639518,0.000639518,0.000639518
87,68633.7,0.73543,0.37572,0.60582,0.80981,0.85255,0.7046,0.82878,0.47614,0.84749,0.70041,0.82082,0.45722,0.14725,0.08057,0.09702,0.15977,0.000571106,0.000571106,0.000571106
88,69452.2,0.73115,0.37609,0.59007,0.81033,0.84927,0.7068,0.8302,0.47808,0.84779,0.70131,0.82224,0.45791,0.14704,0.08047,0.09657,0.15958,0.000507115,0.000507115,0.000507115
89,70275.9,0.72024,0.36606,0.57155,0.79519,0.84938,0.71079,0.83164,0.47905,0.84367,0.70601,0.82415,0.45912,0.14691,0.08038,0.09611,0.15946,0.000447606,0.000447606,0.000447606
90,71143.3,0.7256,0.38228,0.58533,0.80638,0.84771,0.71625,0.83311,0.48087,0.84268,0.70968,0.82453,0.46,0.14678,0.08029,0.09552,0.15935,0.00039264,0.00039264,0.00039264
91,71952.8,0.37136,0.18789,0.21575,0.44883,0.84934,0.72066,0.83517,0.48206,0.84343,0.71439,0.82529,0.46084,0.1467,0.08023,0.09507,0.15925,0.00034227,0.00034227,0.00034227
92,72736.7,0.35512,0.19093,0.20022,0.43129,0.84844,0.7223,0.83664,0.48301,0.84185,0.71625,0.82695,0.46315,0.14654,0.08019,0.09461,0.15911,0.000296546,0.000296546,0.000296546
93,73551.9,0.35242,0.1844,0.20337,0.43214,0.84362,0.72833,0.83788,0.48378,0.84252,0.71446,0.82827,0.46325,0.14643,0.08013,0.0941,0.15901,0.000255513,0.000255513,0.000255513
94,74383.1,0.35386,0.18896,0.20086,0.43091,0.85226,0.72521,0.83949,0.48472,0.84383,0.71804,0.83023,0.46424,0.14631,0.08006,0.09372,0.15892,0.000219212,0.000219212,0.000219212
95,75180.9,0.34911,0.18844,0.196,0.4276,0.85358,0.72461,0.84061,0.48646,0.84621,0.71804,0.83169,0.46597,0.14616,0.07999,0.09332,0.15881,0.000187678,0.000187678,0.000187678
96,75997.8,0.34966,0.18937,0.19936,0.42882,0.85199,0.7282,0.84137,0.48683,0.845,0.72222,0.83193,0.46662,0.14605,0.07995,0.09292,0.15873,0.000160943,0.000160943,0.000160943
97,76802.7,0.34469,0.18307,0.19462,0.42222,0.8517,0.72999,0.84125,0.48778,0.84473,0.72401,0.83257,0.46748,0.14596,0.07991,0.09252,0.15866,0.000139032,0.000139032,0.000139032
98,77584,0.34262,0.18855,0.1954,0.42047,0.85099,0.73059,0.84307,0.4883,0.84334,0.72401,0.83305,0.46752,0.14587,0.07987,0.09204,0.15858,0.000121968,0.000121968,0.000121968
99,78366.2,0.34399,0.18959,0.19326,0.42453,0.85834,0.73116,0.84352,0.48889,0.85094,0.72297,0.83364,0.46796,0.14577,0.07986,0.09161,0.15852,0.000109768,0.000109768,0.000109768
100,79148.9,0.34428,0.18908,0.19282,0.42588,0.85648,0.73081,0.84466,0.48959,0.84947,0.72342,0.83453,0.46848,0.14569,0.07986,0.09122,0.15845,0.000102443,0.000102443,0.000102443
